,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,223,76,777,147,76,667,107,110,707,183,110,817
1,734,374,266,360,374,252,356,14,256,730,14,270
2,792,521,208,271,521,123,269,85,125,790,85,210
3,578,386,422,192,386,55,188,367,59,574,367,426
4,714,434,286,280,434,38,258,248,60,692,248,308
5,554,336,446,218,336,34,200,412,52,536,412,464
6,624,367,376,257,367,41,242,335,56,609,335,391
7,581,364,419,217,364,29,191,390,55,555,390,445
8,568,327,432,241,327,35,217,397,59,544,397,456
9,556,342,444,214,342,36,194,408,56,536,408,464
10,560,324,440,236,324,29,208,411,57,532,411,468
11,554,352,446,202,352,41,186,405,57,538,405,462
12,544,352,456,192,352,41,176,415,57,528,415,472
13,551,334,449,217,334,34,195,415,56,529,415,471
14,534,314,466,220,314,32,193,434,59,507,434,493
15,595,368,405,227,368,37,203,368,61,571,368,429
16,511,306,489,205,306,41,172,448,74,478,448,522
17,600,350,400,250,350,36,210,364,76,560,364,440
18,536,317,464,219,317,44,177,420,86,494,420,506
19,573,316,427,257,316,41,204,386,94,520,386,480
20,541,292,459,249,292,41,177,418,113,469,418,531
21,612,308,388,304,308,38,207,350,135,515,350,485
22,564,279,436,285,279,38,184,398,139,463,398,537
23,591,317,409,274,317,55,179,354,150,496,354,504
24,566,279,434,287,279,57,180,377,164,459,377,541
25,595,304,405,291,304,67,168,338,190,472,338,528
26,548,254,452,294,254,92,188,360,198,442,360,558
27,599,308,401,291,308,110,177,291,224,485,291,515
28,525,270,475,255,270,135,166,340,224,436,340,564
29,578,290,422,288,290,163,192,259,259,482,259,518
30,507,261,493,246,261,193,159,300,280,420,300,580
31,576,293,424,283,293,197,197,227,283,490,227,510
32,494,262,506,232,262,237,161,269,308,423,269,577
33,575,290,425,285,290,224,211,201,298,501,201,499
34,479,228,521,251,228,263,190,258,324,418,258,582
35,549,280,451,269,280,238,209,213,298,489,213,511
36,495,256,505,239,256,265,179,240,325,435,240,565
37,561,310,439,251,310,251,189,188,313,499,188,501
38,468,263,532,205,263,275,158,257,322,421,257,579
39,560,312,440,248,312,247,179,193,316,491,193,509
40,484,272,516,212,272,280,161,236,331,433,236,567
41,562,318,438,244,318,242,195,196,291,513,196,487
42,498,271,502,227,271,274,167,228,334,438,228,562
43,559,333,441,226,333,260,172,181,314,505,181,495
44,484,255,516,229,255,280,176,236,333,431,236,569
45,552,305,448,247,305,256,194,192,309,499,192,501
46,496,274,504,222,274,274,170,230,326,444,230,556
47,535,302,465,233,302,258,192,207,299,494,207,506
48,492,266,508,226,266,288,182,220,332,448,220,552
49,543,298,457,245,298,261,190,196,316,488,196,512
50,479,259,521,220,259,273,173,248,320,432,248,568
51,560,310,440,250,310,260,205,180,305,515,180,485
52,455,251,545,204,251,294,164,251,334,415,251,585
53,570,307,430,263,307,253,207,177,309,514,177,486
54,472,263,528,209,263,276,169,252,316,432,252,568
55,560,302,440,258,302,254,202,186,310,504,186,496
56,470,255,530,215,255,283,174,247,324,429,247,571
57,556,303,444,253,303,257,202,187,308,505,187,495
58,483,255,517,228,255,272,178,245,322,433,245,567
59,553,315,447,238,315,261,183,186,316,498,186,502
60,486,259,514,227,259,283,176,231,334,435,231,565
61,550,316,450,234,316,253,183,197,304,499,197,501
62,470,290,530,180,290,295,139,235,336,429,235,571
63,565,299,435,266,299,260,213,175,313,512,175,488
64,486,275,514,211,275,272,162,242,321,437,242,563
65,546,312,454,234,312,261,183,193,312,495,193,505
66,472,265,528,207,265,276,172,252,311,437,252,563
67,568,311,432,257,311,252,203,180,306,514,180,486
68,473,271,527,202,271,289,166,238,325,437,238,563
69,551,309,449,242,309,269,199,180,312,508,180,492
70,470,270,530,200,270,297,158,233,339,428,233,572
71,566,322,434,244,322,268,198,166,314,520,166,480
72,452,246,548,206,246,281,173,267,314,419,267,581
73,561,318,439,243,318,254,196,185,301,514,185,486
74,482,264,518,218,264,275,163,243,330,427,243,573
75,567,326,433,241,326,257,186,176,312,512,176,488
76,469,277,531,192,277,282,148,249,326,425,249,575
77,566,330,434,236,330,249,186,185,299,516,185,484
78,469,269,531,200,269,286,154,245,332,423,245,577
79,576,333,424,243,333,251,188,173,306,521,173,479
80,483,274,517,209,274,285,152,232,342,426,232,574
81,559,322,441,237,322,258,190,183,305,512,183,488
82,473,270,527,203,270,285,163,242,325,433,242,567
83,562,320,438,242,320,270,206,168,306,526,168,474
84,489,277,511,212,277,275,165,236,322,442,236,558
85,550,306,450,244,306,277,198,173,323,504,173,496
86,477,259,523,218,259,290,177,233,331,436,233,564
87,557,309,443,248,309,260,202,183,306,511,183,489
88,472,272,528,200,272,294,158,234,336,430,234,570
89,546,307,454,239,307,269,198,185,310,505,185,495
90,499,280,501,219,280,291,165,210,345,445,210,555
91,538,307,462,231,307,260,174,202,317,481,202,519
92,454,258,546,196,258,284,164,262,316,422,262,578
93,552,320,448,232,320,255,183,193,304,503,193,497
94,497,261,503,236,261,269,178,234,327,439,234,561
95,559,305,441,254,305,268,203,173,319,508,173,492
96,474,283,526,191,283,289,150,237,330,433,237,567
97,563,320,437,243,320,263,186,174,320,506,174,494
98,468,254,532,214,254,282,172,250,324,426,250,574
99,549,328,451,221,328,254,177,197,298,505,197,495
