,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,273,106,727,167,106,649,140,78,676,246,78,754
1,874,474,126,400,474,83,403,43,80,877,43,123
2,206,96,794,110,96,139,107,655,142,203,655,797
3,849,685,151,164,685,69,159,82,74,844,82,156
4,727,573,273,154,573,140,112,133,182,685,133,315
5,707,491,293,216,491,152,158,141,210,649,141,351
6,681,441,319,240,441,169,192,150,217,633,150,367
7,483,279,517,204,279,187,162,330,229,441,330,559
8,738,478,262,260,478,162,217,100,205,695,100,305
9,299,144,701,155,144,187,117,514,225,261,514,739
10,813,528,187,285,528,110,264,77,131,792,77,208
11,681,447,319,234,447,166,197,153,203,644,153,356
12,559,308,441,251,308,174,166,267,259,474,267,526
13,631,358,369,273,358,177,209,192,241,567,192,433
14,521,293,479,228,293,195,153,284,270,446,284,554
15,652,384,348,268,384,182,218,166,232,602,166,398
16,492,253,508,239,253,199,149,309,289,402,309,598
17,704,442,296,262,442,157,225,139,194,667,139,333
18,438,207,562,231,207,201,124,361,308,331,361,669
19,789,520,211,269,520,108,235,103,142,755,103,245
20,405,193,595,212,193,194,119,401,287,312,401,688
21,782,472,218,310,472,114,271,104,153,743,104,257
22,460,232,540,228,232,227,126,313,329,358,313,642
23,710,428,290,282,428,150,226,140,206,654,140,346
24,417,200,583,217,200,260,130,323,347,330,323,670
25,748,485,252,263,485,138,243,114,158,728,114,272
26,443,229,557,214,229,227,141,330,300,370,330,630
27,691,412,309,279,412,150,234,159,195,646,159,354
28,475,223,525,252,223,243,151,282,344,374,282,626
29,629,376,371,253,376,190,230,181,213,606,181,394
30,443,218,557,225,218,297,155,260,367,373,260,627
31,674,418,326,256,418,179,230,147,205,648,147,352
32,452,238,548,214,238,264,147,284,331,385,284,615
33,689,393,311,296,393,152,247,159,201,640,159,360
34,446,240,554,206,240,289,161,265,334,401,265,599
35,663,401,337,262,401,164,225,173,201,626,173,374
36,449,229,551,220,229,260,144,291,336,373,291,627
37,676,400,324,276,400,161,231,163,206,631,163,369
38,418,219,582,199,219,309,159,273,349,378,273,622
39,707,440,293,267,440,150,234,143,183,674,143,326
40,439,243,561,196,243,285,130,276,351,373,276,627
41,685,427,315,258,427,166,226,149,198,653,149,347
42,457,259,543,198,259,284,131,259,351,390,259,610
43,656,396,344,260,396,193,222,151,231,618,151,382
44,434,219,566,215,219,279,154,287,340,373,287,627
45,675,415,325,260,415,163,230,162,193,645,162,355
46,443,224,557,219,224,266,149,291,336,373,291,627
47,671,394,329,277,394,168,236,161,209,630,161,370
48,469,241,531,228,241,261,142,270,347,383,270,617
49,644,385,356,259,385,184,242,172,201,627,172,373
50,456,254,544,202,254,282,156,262,328,410,262,590
51,630,366,370,264,366,186,201,184,249,567,184,433
52,462,230,538,232,230,279,173,259,338,403,259,597
53,647,399,353,248,399,200,222,153,226,621,153,379
54,464,257,536,207,257,272,148,264,331,405,264,595
55,620,353,380,267,353,190,217,190,240,570,190,430
56,515,293,485,222,293,262,162,223,322,455,223,545
57,581,324,419,257,324,217,219,202,255,543,202,457
58,461,237,539,224,237,277,161,262,340,398,262,602
59,648,364,352,284,364,176,231,176,229,595,176,405
60,440,234,560,206,234,298,154,262,350,388,262,612
61,637,368,363,269,368,177,222,186,224,590,186,410
62,475,286,525,189,286,281,141,244,329,427,244,573
63,618,376,382,242,376,198,211,184,229,587,184,413
64,462,245,538,217,245,282,147,256,352,392,256,608
65,670,374,330,296,374,171,244,159,223,618,159,382
66,479,257,521,222,257,279,168,242,333,425,242,575
67,609,376,391,233,376,218,219,173,232,595,173,405
68,456,237,544,219,237,266,136,278,349,373,278,627
69,618,373,382,245,373,199,232,183,212,605,183,395
70,520,290,480,230,290,246,162,234,314,452,234,548
71,597,349,403,248,349,219,225,184,242,574,184,426
72,483,277,517,206,277,265,131,252,340,408,252,592
73,587,344,413,243,344,218,230,195,231,574,195,426
74,462,245,538,217,245,293,168,245,342,413,245,587
75,635,349,365,286,349,190,233,175,243,582,175,418
76,475,266,525,209,266,271,163,254,317,429,254,571
77,629,346,371,283,346,196,243,175,236,589,175,411
78,440,227,560,213,227,294,163,266,344,390,266,610
79,638,364,362,274,364,191,240,171,225,604,171,396
80,458,237,542,221,237,274,152,268,343,389,268,611
81,621,374,379,247,374,207,194,172,260,568,172,432
82,475,255,525,220,255,265,161,260,324,416,260,584
83,624,364,376,260,364,174,214,202,220,578,202,422
84,496,269,504,227,269,267,138,237,356,407,237,593
85,596,360,404,236,360,219,239,185,216,599,185,401
86,474,250,526,224,250,274,151,252,347,401,252,599
87,620,361,380,259,361,204,217,176,246,578,176,422
88,466,266,534,200,266,289,153,245,336,419,245,581
89,610,369,390,241,369,194,218,196,217,587,196,413
90,472,259,528,213,259,294,149,234,358,408,234,592
91,643,392,357,251,392,183,218,174,216,610,174,390
92,468,265,532,203,265,274,166,258,311,431,258,569
93,616,362,384,254,362,201,206,183,249,568,183,432
94,477,269,523,208,269,262,155,261,315,424,261,576
95,618,347,382,271,347,201,210,181,262,557,181,443
96,452,260,548,192,260,276,155,272,313,415,272,585
97,628,341,372,287,341,180,224,192,243,565,192,435
98,490,279,510,211,279,266,155,244,322,434,244,566
99,590,346,410,244,346,232,222,178,254,568,178,432
