,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,121,22,879,99,22,753,42,126,810,64,126,936
1,821,380,179,441,380,128,404,51,165,784,51,216
2,761,639,239,122,639,115,125,124,112,764,124,236
3,789,620,211,169,620,106,171,105,104,791,105,209
4,747,574,253,173,574,97,174,156,96,748,156,252
5,548,359,452,189,359,118,187,334,120,546,334,454
6,568,358,432,210,358,86,203,346,93,561,346,439
7,437,227,563,210,227,94,190,469,114,417,469,583
8,874,599,126,275,599,64,258,62,81,857,62,143
9,242,119,758,123,119,88,116,670,95,235,670,765
10,878,590,122,288,590,34,281,88,41,871,88,129
11,660,438,340,222,438,90,219,250,93,657,250,343
12,389,206,611,183,206,108,188,503,103,394,503,606
13,860,542,140,318,542,59,295,81,82,837,81,163
14,253,117,747,136,117,112,133,635,115,250,635,750
15,879,620,121,259,620,44,251,77,52,871,77,129
16,663,445,337,218,445,95,225,242,88,670,242,330
17,482,296,518,186,296,110,173,408,123,469,408,531
18,687,393,313,294,393,90,250,223,134,643,223,357
19,419,217,581,202,217,114,178,467,138,395,467,605
20,797,497,203,300,497,69,264,134,105,761,134,239
21,333,163,667,170,163,110,158,557,122,321,557,679
22,851,558,149,293,558,61,253,88,101,811,88,189
23,447,226,553,221,226,97,153,456,165,379,456,621
24,756,415,244,341,415,83,226,161,198,641,161,359
25,507,221,493,286,221,116,174,377,228,395,377,605
26,651,347,349,304,347,106,196,243,214,543,243,457
27,530,252,470,278,252,142,169,328,251,421,328,579
28,637,340,363,297,340,143,200,220,240,540,220,460
29,556,279,444,277,279,143,162,301,258,441,301,559
30,620,347,380,273,347,140,190,240,223,537,240,463
31,530,261,470,269,261,156,153,314,272,414,314,586
32,635,343,365,292,343,145,205,220,232,548,220,452
33,506,248,494,258,248,174,166,320,266,414,320,586
34,627,330,373,297,330,161,188,212,270,518,212,482
35,528,278,472,250,278,192,176,280,266,454,280,546
36,587,301,413,286,301,184,203,229,267,504,229,496
37,495,255,505,240,255,201,152,304,289,407,304,593
38,625,351,375,274,351,185,200,190,259,551,190,449
39,485,257,515,228,257,231,183,284,276,440,284,560
40,591,305,409,286,305,207,189,202,304,494,202,506
41,513,284,487,229,284,227,172,260,284,456,260,544
42,597,294,403,303,294,218,213,185,308,507,185,493
43,500,264,500,236,264,231,182,269,285,446,269,554
44,594,318,406,276,318,218,206,188,288,524,188,476
45,487,257,513,230,257,267,192,246,305,449,246,551
46,602,325,398,277,325,217,201,181,293,526,181,474
47,459,248,541,211,248,250,176,291,285,424,291,576
48,603,328,397,275,328,219,220,178,274,548,178,452
49,495,256,505,239,256,247,166,258,320,422,258,578
50,598,343,402,255,343,228,206,174,277,549,174,451
51,488,250,512,238,250,243,187,269,294,437,269,563
52,574,326,426,248,326,243,179,183,312,505,183,495
53,505,283,495,222,283,261,167,234,316,450,234,550
54,562,296,438,266,296,240,218,198,288,514,198,486
55,508,275,492,233,275,268,177,224,324,452,224,548
56,609,329,391,280,329,222,229,169,273,558,169,442
57,463,260,537,203,260,286,185,251,304,445,251,555
58,586,313,414,273,313,199,197,215,275,510,215,490
59,491,274,509,217,274,282,182,227,317,456,227,544
60,588,323,412,265,323,236,199,176,302,522,176,478
61,485,254,515,231,254,254,176,261,309,430,261,570
62,578,322,422,256,322,230,196,192,290,518,192,482
63,490,280,510,210,280,266,175,244,301,455,244,545
64,585,312,415,273,312,225,194,190,304,506,190,494
65,493,292,507,201,292,274,161,233,314,453,233,547
66,555,298,445,257,298,242,227,203,272,525,203,475
67,507,269,493,238,269,276,177,217,337,446,217,554
68,582,327,418,255,327,222,192,196,285,519,196,481
69,504,277,496,227,277,266,165,230,328,442,230,558
70,561,302,439,259,302,248,207,191,300,509,191,491
71,501,280,499,221,280,259,175,240,305,455,240,545
72,573,295,427,278,295,224,212,203,290,507,203,493
73,497,265,503,232,265,277,201,226,308,466,226,534
74,570,317,430,253,317,221,166,209,308,483,209,517
75,519,288,481,231,288,269,181,212,319,469,212,531
76,543,311,457,232,311,249,198,208,283,509,208,491
77,520,275,480,245,275,260,179,220,326,454,220,546
78,546,295,454,251,295,235,212,219,274,507,219,493
79,510,285,490,225,285,253,176,237,302,461,237,539
80,538,289,462,249,289,237,198,225,288,487,225,513
81,534,291,466,243,291,276,184,190,335,475,190,525
82,537,317,463,220,317,241,185,222,276,502,222,498
83,519,261,481,258,261,278,199,203,337,460,203,540
84,554,318,446,236,318,245,199,201,282,517,201,483
85,521,292,479,229,292,274,167,205,336,459,205,541
86,559,323,441,236,323,222,180,219,278,503,219,497
87,528,301,472,227,301,241,170,231,298,471,231,529
88,531,281,469,250,281,243,204,226,289,485,226,515
89,535,302,465,233,302,236,177,229,292,479,229,521
90,540,307,460,233,307,246,167,214,312,474,214,526
91,538,303,462,235,303,242,184,220,293,487,220,513
92,540,305,460,235,305,250,180,210,305,485,210,515
93,504,289,496,215,289,277,195,219,297,484,219,516
94,548,304,452,244,304,226,181,226,289,485,226,515
95,525,280,475,245,280,264,188,211,321,468,211,532
96,529,302,471,227,302,266,195,205,298,497,205,503
97,522,291,478,231,291,260,182,218,309,473,218,527
98,550,293,450,257,293,247,203,203,301,496,203,504
99,513,294,487,219,294,263,185,224,297,479,224,521
