,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,583,252,417,331,252,292,321,125,302,573,125,427
1,356,143,644,213,143,402,145,242,470,288,242,712
2,759,476,241,283,476,111,296,130,98,772,130,228
3,370,214,630,156,214,239,125,391,270,339,391,661
4,743,476,257,267,476,133,223,124,177,699,124,301
5,440,253,560,187,253,240,115,320,312,368,320,632
6,727,465,273,262,465,138,219,135,181,684,135,316
7,410,231,590,179,231,288,116,302,351,347,302,653
8,772,502,228,270,502,122,257,106,135,759,106,241
9,384,224,616,160,224,283,94,333,349,318,333,682
10,765,509,235,256,509,127,228,108,155,737,108,263
11,440,247,560,193,247,258,102,302,349,349,302,651
12,737,487,263,250,487,137,229,126,158,716,126,284
13,416,222,584,194,222,278,122,306,350,344,306,656
14,747,515,253,232,515,130,212,123,150,727,123,273
15,387,233,613,154,233,321,94,292,381,327,292,673
16,752,519,248,233,519,133,212,115,154,731,115,269
17,442,274,558,168,274,243,101,315,310,375,315,625
18,746,503,254,243,503,126,205,128,164,708,128,292
19,411,227,589,184,227,286,103,303,367,330,303,670
20,757,498,243,259,498,119,237,124,141,735,124,265
21,420,246,580,174,246,252,111,328,315,357,328,643
22,748,483,252,265,483,129,231,123,163,714,123,286
23,364,194,636,170,194,296,101,340,365,295,340,705
24,766,528,234,238,528,128,223,106,143,751,106,249
25,426,247,574,179,247,293,91,281,381,338,281,662
26,780,542,220,238,542,122,230,98,130,772,98,228
27,419,258,581,161,258,240,104,341,297,362,341,638
28,738,478,262,260,478,124,220,138,164,698,138,302
29,409,219,591,190,219,296,110,295,376,329,295,671
30,773,517,227,256,517,116,234,111,138,751,111,249
31,356,221,644,135,221,285,90,359,330,311,359,689
32,789,533,211,256,533,124,231,87,149,764,87,236
33,427,230,573,197,230,292,98,281,391,328,281,672
34,776,527,224,249,527,131,238,93,142,765,93,235
35,396,232,604,164,232,237,112,367,289,344,367,656
36,761,533,239,228,533,106,199,133,135,732,133,268
37,411,247,589,164,247,310,92,279,382,339,279,661
38,765,502,235,263,502,129,233,106,159,735,106,265
39,413,238,587,175,238,255,106,332,324,344,332,656
40,755,488,245,267,488,112,227,133,152,715,133,285
41,405,220,595,185,220,276,117,319,344,337,319,663
42,760,502,240,258,502,119,230,121,147,732,121,268
43,377,210,623,167,210,300,92,323,375,302,323,698
44,779,563,221,216,563,120,200,101,136,763,101,237
45,435,259,565,176,259,254,113,311,317,372,311,628
46,737,484,263,253,484,128,227,135,154,711,135,289
47,398,211,602,187,211,308,110,294,385,321,294,679
48,758,494,242,264,494,143,237,99,170,731,99,269
49,398,237,602,161,237,247,103,355,305,340,355,660
50,757,503,243,254,503,112,222,131,144,725,131,275
51,415,216,585,199,216,292,119,293,372,335,293,665
52,748,511,252,237,511,141,213,111,165,724,111,276
53,420,248,580,172,248,256,108,324,320,356,324,644
54,766,510,234,256,510,117,224,117,149,734,117,266
55,414,236,586,178,236,307,110,279,375,346,279,654
56,738,496,262,242,496,127,217,135,152,713,135,287
57,406,224,594,182,224,280,107,314,355,331,314,669
58,767,496,233,271,496,114,242,119,143,738,119,262
59,398,236,602,162,236,298,114,304,346,350,304,650
60,751,497,249,254,497,118,224,131,148,721,131,279
61,414,244,586,170,244,283,100,303,353,344,303,656
62,775,533,225,242,533,108,215,117,135,748,117,252
63,399,224,601,175,224,292,100,309,367,324,309,676
64,755,508,245,247,508,133,227,112,153,735,112,265
65,446,264,554,182,264,239,113,315,308,377,315,623
66,729,468,271,261,468,123,211,148,173,679,148,321
67,396,244,604,152,244,300,98,304,354,342,304,658
68,755,497,245,258,497,123,222,122,159,719,122,281
69,396,219,604,177,219,295,99,309,373,318,309,682
70,761,524,239,237,524,129,219,110,147,743,110,257
71,441,275,559,166,275,257,103,302,320,378,302,622
72,747,477,253,270,477,118,223,135,165,700,135,300
73,395,229,605,166,229,292,110,313,348,339,313,661
74,755,511,245,244,511,120,221,125,143,732,125,268
75,445,269,555,176,269,272,109,283,339,378,283,622
76,691,441,309,250,441,147,202,162,195,643,162,357
77,413,243,587,170,243,303,95,284,378,338,284,662
78,732,512,268,220,512,143,211,125,152,723,125,277
79,434,259,566,175,259,267,106,299,336,365,299,635
80,719,482,281,237,482,154,202,127,189,684,127,316
81,466,282,534,184,282,213,101,321,296,383,321,617
82,719,465,281,254,465,128,208,153,174,673,153,327
83,415,234,585,181,234,292,119,293,354,353,293,647
84,727,471,273,256,471,141,224,132,173,695,132,305
85,397,222,603,175,222,302,102,301,375,324,301,676
86,744,513,256,231,513,147,212,109,166,725,109,275
87,461,283,539,178,283,254,119,285,313,402,285,598
88,723,437,277,286,437,142,245,135,183,682,135,318
89,412,232,588,180,232,296,116,292,360,348,292,652
90,715,487,285,228,487,137,199,148,166,686,148,314
91,441,259,559,182,259,256,116,303,322,375,303,625
92,720,483,280,237,483,124,209,156,152,692,156,308
93,453,262,547,191,262,287,107,260,371,369,260,631
94,723,470,277,253,470,129,211,148,171,681,148,319
95,402,239,598,163,239,285,102,313,346,341,313,659
96,726,510,274,216,510,144,201,130,159,711,130,289
97,408,251,592,157,251,290,95,302,352,346,302,654
98,732,475,268,257,475,133,226,135,164,701,135,299
99,449,268,551,181,268,269,125,282,325,393,282,607
