,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,319,109,681,210,109,556,141,125,625,250,125,750
1,847,458,153,389,458,80,393,73,76,851,73,149
2,323,195,677,128,195,154,116,523,166,311,523,689
3,823,579,177,244,579,107,239,70,112,818,70,182
4,572,369,428,203,369,150,172,278,181,541,278,459
5,587,323,413,264,323,137,199,276,202,522,276,478
6,514,291,486,223,291,168,187,318,204,478,318,522
7,602,345,398,257,345,167,214,231,210,559,231,441
8,504,273,496,231,273,195,205,301,221,478,301,522
9,603,302,397,301,302,199,224,198,276,526,198,474
10,525,262,475,263,262,201,196,274,268,458,274,542
11,567,316,433,251,316,219,229,214,241,545,214,455
12,515,259,485,256,259,232,219,253,269,478,253,522
13,555,299,445,256,299,230,217,215,269,516,215,484
14,553,274,447,279,274,226,215,221,290,489,221,511
15,542,294,458,248,294,229,224,229,253,518,229,482
16,542,282,458,260,282,239,206,219,293,488,219,512
17,543,263,457,280,263,247,236,210,291,499,210,501
18,541,290,459,251,290,226,204,233,273,494,233,506
19,538,265,462,273,265,243,227,219,289,492,219,508
20,528,256,472,272,256,253,240,219,285,496,219,504
21,551,276,449,275,276,232,212,217,295,488,217,512
22,534,273,466,261,273,261,222,205,300,495,205,505
23,542,273,458,269,273,226,217,232,278,490,232,510
24,565,280,435,285,280,240,227,195,298,507,195,493
25,513,252,487,261,252,268,245,219,284,497,219,503
26,546,299,454,247,299,238,218,216,267,517,216,483
27,521,263,479,258,263,235,219,244,274,482,244,518
28,540,280,460,260,280,247,220,213,287,500,213,500
29,544,266,456,278,266,239,221,217,296,487,217,513
30,551,274,449,277,274,239,233,210,283,507,210,493
31,540,263,460,277,263,248,197,212,328,460,212,540
32,549,275,451,274,275,241,242,210,273,517,210,483
33,473,251,527,222,251,280,220,247,282,471,247,529
34,634,328,366,306,328,206,238,160,274,566,160,434
35,503,252,497,251,252,270,208,227,313,460,227,540
36,566,318,434,248,318,245,220,189,273,538,189,462
37,536,280,464,256,280,266,216,198,306,496,198,504
38,561,285,439,276,285,230,205,209,301,490,209,510
39,514,262,486,252,262,264,233,222,283,495,222,505
40,543,262,457,281,262,265,215,192,331,477,192,523
41,538,303,462,235,303,256,224,206,267,527,206,473
42,558,271,442,287,271,240,215,202,312,486,202,514
43,502,283,498,219,283,265,211,233,273,494,233,506
44,568,288,432,280,288,225,223,207,282,511,207,489
45,521,254,479,267,254,274,222,205,319,476,205,524
46,559,282,441,277,282,229,223,212,283,505,212,495
47,520,261,480,259,261,268,211,212,316,472,212,528
48,556,295,444,261,295,229,227,215,263,522,215,478
49,517,270,483,247,270,257,200,226,304,470,226,530
50,551,280,449,271,280,254,228,195,297,508,195,492
51,542,300,458,242,300,254,218,204,278,518,204,482
52,535,262,465,273,262,249,207,216,315,469,216,531
53,542,266,458,276,266,255,229,203,302,495,203,505
54,528,296,472,232,296,251,190,221,293,486,221,514
55,567,316,433,251,316,232,204,201,279,520,201,480
56,526,267,474,259,267,241,213,233,287,480,233,520
57,551,278,449,273,278,236,229,213,280,507,213,493
58,541,271,459,270,271,251,220,208,301,491,208,509
59,514,282,486,232,282,254,202,232,284,484,232,516
60,553,289,447,264,289,251,225,196,290,514,196,486
61,549,287,451,262,287,237,200,214,299,487,214,513
62,528,279,472,249,279,245,214,227,280,493,227,507
63,562,303,438,259,303,237,216,201,280,519,201,481
64,525,276,475,249,276,256,213,219,292,489,219,511
65,542,268,458,274,268,252,223,206,303,491,206,509
66,515,259,485,256,259,257,221,228,292,480,228,520
67,547,282,453,265,282,237,220,216,282,502,216,498
68,515,263,485,252,263,274,231,211,295,494,211,506
69,557,276,443,281,276,223,201,220,303,477,220,523
70,526,273,474,253,273,272,234,202,291,507,202,493
71,566,285,434,281,285,229,191,205,319,476,205,524
72,516,268,484,248,268,274,244,210,278,512,210,488
73,541,267,459,274,267,257,215,202,316,482,202,518
74,510,271,490,239,271,258,217,232,280,488,232,512
75,548,284,452,264,284,243,218,209,289,502,209,498
76,561,280,439,281,280,217,195,222,303,475,222,525
77,537,283,463,254,283,267,241,196,280,524,196,476
78,514,253,486,261,253,275,202,211,334,455,211,545
79,580,294,420,286,294,230,234,190,282,528,190,472
80,513,255,487,258,255,288,212,199,334,467,199,533
81,540,282,460,258,282,248,271,212,235,553,212,447
82,553,263,447,290,263,230,210,217,310,473,217,527
83,533,288,467,245,288,250,218,217,277,506,217,494
84,528,265,472,263,265,264,227,208,300,492,208,508
85,546,287,454,259,287,250,210,204,299,497,204,503
86,537,295,463,242,295,265,235,198,272,530,198,470
87,525,269,475,256,269,253,193,222,316,462,222,538
88,529,282,471,247,282,273,228,198,292,510,198,490
89,540,258,460,282,258,259,216,201,325,474,201,526
90,547,296,453,251,296,252,220,201,283,516,201,484
91,536,295,464,241,295,254,218,210,277,513,210,487
92,538,279,462,259,279,267,194,195,332,473,195,527
93,552,284,448,268,284,243,228,205,283,512,205,488
94,526,257,474,269,257,237,207,237,299,464,237,536
95,550,286,450,264,286,259,232,191,291,518,191,482
96,526,276,474,250,276,268,206,206,312,482,206,518
97,525,271,475,254,271,245,232,230,267,503,230,497
98,543,274,457,269,274,260,206,197,323,480,197,520
99,520,291,480,229,291,260,208,220,281,499,220,501
100,545,263,455,282,263,255,232,200,305,495,200,505
101,524,277,476,247,277,248,220,228,275,497,228,503
102,552,271,448,281,271,245,213,203,313,484,203,516
103,518,269,482,249,269,262,235,220,276,504,220,496
104,561,289,439,272,289,235,206,204,301,495,204,505
105,531,276,469,255,276,245,224,224,276,500,224,500
106,541,279,459,262,279,249,225,210,286,504,210,496
107,540,266,460,274,266,245,218,215,301,484,215,516
108,552,292,448,260,292,241,218,207,283,510,207,490
109,552,273,448,279,273,271,229,177,321,502,177,498
110,511,255,489,256,255,255,223,234,288,478,234,522
111,561,289,439,272,289,229,207,210,294,496,210,504
112,499,270,501,229,270,276,225,225,280,495,225,505
113,554,273,446,281,273,240,208,206,313,481,206,519
114,564,300,436,264,300,235,209,201,290,509,201,491
115,536,269,464,267,269,270,232,194,305,501,194,499
116,539,295,461,244,295,246,219,215,271,514,215,486
117,522,273,478,249,273,243,188,235,304,461,235,539
118,556,290,444,266,290,261,246,183,281,536,183,464
119,499,249,501,250,249,267,213,234,304,462,234,538
120,553,280,447,273,280,253,218,194,308,498,194,502
121,530,280,470,250,280,247,202,223,295,482,223,518
122,572,276,428,296,276,227,253,201,270,529,201,471
123,496,230,504,266,230,280,211,224,335,441,224,559
124,578,303,422,275,303,237,237,185,275,540,185,460
125,500,241,500,259,241,287,222,213,324,463,213,537
126,578,321,422,257,321,226,226,196,257,547,196,453
127,531,258,469,273,258,268,209,201,332,467,201,533
128,555,288,445,267,288,229,229,216,267,517,216,483
129,496,249,504,247,249,271,203,233,315,452,233,548
130,562,284,438,278,284,250,251,188,277,535,188,465
131,531,279,469,252,279,245,213,224,284,492,224,508
132,543,275,457,268,275,243,223,214,288,498,214,502
133,548,282,452,266,282,260,218,192,308,500,192,500
134,526,283,474,243,283,268,216,206,295,499,206,501
135,558,289,442,269,289,260,220,182,309,509,182,491
136,527,284,473,243,284,260,202,213,301,486,213,514
137,548,285,452,263,285,240,211,212,292,496,212,504
138,524,267,476,257,267,268,217,208,308,484,208,516
139,524,248,476,276,248,241,241,235,276,489,235,511
140,538,257,462,281,257,256,215,206,322,472,206,528
141,548,295,452,253,295,243,220,209,276,515,209,485
142,533,256,467,277,256,250,216,217,311,472,217,528
143,533,282,467,251,282,240,227,227,264,509,227,491
144,561,267,439,294,267,257,212,182,339,479,182,521
145,544,287,456,257,287,247,221,209,283,508,209,492
146,533,268,467,265,268,249,199,218,315,467,218,533
147,551,285,449,266,285,240,212,209,294,497,209,503
148,530,262,470,268,262,263,235,207,296,497,207,503
149,544,299,456,245,299,257,222,199,280,521,199,479
150,522,274,478,248,274,257,181,221,324,455,221,545
151,564,289,436,275,289,238,249,198,264,538,198,462
152,500,256,500,244,256,282,217,218,309,473,218,527
153,582,308,418,274,308,253,225,165,302,533,165,467
154,525,256,475,269,256,259,222,216,306,478,216,522
155,553,290,447,263,290,257,207,190,313,497,190,503
