,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,169,48,831,121,48,708,80,123,749,128,123,872
1,841,409,159,432,409,98,410,61,120,819,61,181
2,744,622,256,122,622,93,127,163,88,749,163,251
3,741,605,259,136,605,91,150,168,77,755,168,245
4,381,241,619,140,241,98,144,521,94,385,521,615
5,831,631,169,200,631,71,194,98,77,825,98,175
6,284,128,716,156,128,93,143,623,106,271,623,729
7,856,552,144,304,552,65,306,79,63,858,79,142
8,709,521,291,188,521,103,189,188,102,710,188,290
9,396,216,604,180,216,121,163,483,138,379,483,621
10,806,534,194,272,534,98,260,96,110,794,96,206
11,353,202,647,151,202,119,144,528,126,346,528,654
12,814,553,186,261,553,89,254,97,96,807,97,193
13,479,299,521,180,299,122,171,399,131,470,399,530
14,712,443,288,269,443,110,231,178,148,674,178,326
15,395,184,605,211,184,137,158,468,190,342,468,658
16,826,542,174,284,542,89,239,85,134,781,85,219
17,438,188,562,250,188,122,146,440,226,334,440,666
18,768,445,232,323,445,110,237,122,196,682,122,318
19,508,200,492,308,200,127,148,365,287,348,365,652
20,693,443,307,250,443,129,233,178,146,676,178,324
21,503,217,497,286,217,145,152,352,279,369,352,631
22,683,381,317,302,381,134,237,183,199,618,183,382
23,530,237,470,293,237,154,163,316,284,400,316,600
24,622,352,378,270,352,143,193,235,220,545,235,455
25,532,260,468,272,260,189,186,279,275,446,279,554
26,602,314,398,288,314,175,191,223,272,505,223,495
27,514,258,486,256,258,196,169,290,283,427,290,573
28,625,342,375,283,342,182,195,193,270,537,193,463
29,503,265,497,238,265,217,159,280,296,424,280,576
30,626,334,374,292,334,179,217,195,254,551,195,449
31,506,249,494,257,249,232,180,262,309,429,262,571
32,581,328,419,253,328,188,177,231,264,505,231,495
33,530,305,470,225,305,223,151,247,297,456,247,544
34,580,312,420,268,312,220,211,200,277,523,200,477
35,517,275,483,242,275,228,168,255,302,443,255,557
36,575,315,425,260,315,235,206,190,289,521,190,479
37,501,251,499,250,251,265,177,234,338,428,234,572
