,Road0,Road1,Road2,Road3,Road4,Road5,Road6,Road7,Road8,Road9,Road10,Road11
0,229,99,771,130,99,638,129,133,639,228,133,772
1,858,436,142,422,436,80,435,62,67,871,62,129
2,215,90,785,125,90,112,113,673,124,203,673,797
3,840,653,160,187,653,73,175,87,85,828,87,172
4,242,92,758,150,92,107,101,651,156,193,651,807
5,872,636,128,236,636,54,210,74,80,846,74,154
6,264,86,736,178,86,489,115,247,552,201,247,799
7,890,633,110,257,633,62,234,48,85,867,48,133
8,226,102,774,124,102,133,97,641,160,199,641,801
9,869,565,131,304,565,68,284,63,88,849,63,151
10,221,97,779,124,97,531,98,248,557,195,248,805
11,868,536,132,332,536,71,315,61,88,851,61,149
12,244,93,756,151,93,139,98,617,192,191,617,809
13,883,583,117,300,583,50,276,67,74,859,67,141
14,250,94,750,156,94,443,114,307,485,208,307,792
15,874,583,126,291,583,64,262,62,93,845,62,155
16,248,102,752,146,102,275,104,477,317,206,477,794
17,879,550,121,329,550,45,304,76,70,854,76,146
18,229,100,771,129,100,447,93,324,483,193,324,807
19,873,591,127,282,591,58,263,69,77,854,69,146
20,243,105,757,138,105,317,102,440,353,207,440,793
21,877,571,123,306,571,44,287,79,63,858,79,142
22,260,120,740,140,120,445,98,295,487,218,295,782
23,876,566,124,310,566,55,290,69,75,856,69,144
24,233,104,767,129,104,327,100,440,356,204,440,796
25,856,548,144,308,548,58,293,86,73,841,86,159
26,242,109,758,133,109,397,99,361,431,208,361,792
27,875,538,125,337,538,53,324,72,66,862,72,138
28,237,99,763,138,99,387,103,376,422,202,376,798
29,864,554,136,310,554,55,290,81,75,844,81,156
30,234,107,766,127,107,403,96,363,434,203,363,797
31,864,565,136,299,565,64,277,72,86,842,72,158
32,254,119,746,135,119,359,96,387,398,215,387,785
33,873,547,127,326,547,48,304,79,70,851,79,149
34,256,117,744,139,117,399,104,345,434,221,345,779
35,883,586,117,297,586,53,282,64,68,868,64,132
36,247,112,753,135,112,399,100,354,434,212,354,788
37,875,576,125,299,576,50,276,75,73,852,75,148
38,233,119,767,114,119,399,87,368,426,206,368,794
39,857,550,143,307,550,59,294,84,72,844,84,156
40,256,102,744,154,102,378,114,366,418,216,366,784
41,883,590,117,293,590,44,277,73,60,867,73,133
42,249,98,751,151,98,391,107,360,435,205,360,795
43,880,609,120,271,609,42,258,78,55,867,78,133
44,260,123,740,137,123,357,100,383,394,223,383,777
45,866,547,134,319,547,50,306,84,63,853,84,147
46,233,103,767,130,103,400,92,367,438,195,367,805
47,855,548,145,307,548,57,288,88,76,836,88,164
48,241,99,759,142,99,381,110,378,413,209,378,791
49,869,563,131,306,563,48,290,83,64,853,83,147
50,241,105,759,136,105,390,96,369,430,201,369,799
51,858,534,142,324,534,59,304,83,79,838,83,162
52,226,99,774,127,99,412,99,362,440,198,362,802
53,860,554,140,306,554,59,299,81,66,853,81,147
54,260,107,740,153,107,399,110,341,442,217,341,783
55,876,584,124,292,584,42,269,82,65,853,82,147
56,230,96,770,134,96,408,89,362,453,185,362,815
57,852,565,148,287,565,60,268,88,79,833,88,167
58,258,111,742,147,111,357,99,385,405,210,385,790
59,876,583,124,293,583,56,275,68,74,858,68,142
60,229,107,771,122,107,366,85,405,403,192,405,808
61,856,569,144,287,569,54,278,90,63,847,90,153
