,Route0,Route1,Route2,Route3,Route4,Route5
0,91,46,102,66,599,96
1,383,381,0,0,232,4
2,402,223,0,0,141,234
3,466,291,0,0,78,165
4,371,163,0,1,44,421
5,424,237,34,0,25,280
6,370,148,18,0,45,419
7,397,194,33,0,34,342
8,351,178,32,1,38,400
9,357,181,37,0,36,389
10,344,173,28,1,45,409
11,349,173,34,2,38,404
12,350,186,31,3,42,388
13,349,166,35,3,38,409
14,367,164,37,2,38,392
15,339,160,37,4,44,416
16,385,163,51,3,35,363
17,301,168,54,3,39,435
18,368,191,60,8,40,333
19,292,157,76,9,33,433
20,357,160,89,9,42,343
21,293,143,92,20,37,415
22,332,170,129,20,35,314
23,294,139,128,17,44,378
24,324,143,129,31,42,331
25,293,134,137,27,49,360
26,294,149,141,26,60,330
27,289,133,142,35,71,330
28,305,135,130,29,96,305
29,288,139,125,38,115,295
30,289,141,128,31,140,271
31,279,147,117,36,159,262
32,273,129,119,27,180,272
33,317,154,115,29,173,212
34,276,130,98,27,201,268
35,290,163,107,29,208,203
36,265,142,94,24,226,249
37,311,170,85,24,208,202
38,254,134,77,8,261,266
39,323,175,87,6,208,201
40,242,160,75,8,251,264
41,343,177,73,6,229,172
42,266,148,56,4,272,254
43,330,184,68,3,227,188
44,252,147,52,2,281,266
45,362,156,61,6,227,188
46,246,156,59,2,275,262
47,323,184,68,1,242,182
48,268,160,66,7,261,238
49,318,187,58,14,249,174
50,282,143,62,7,277,229
51,324,187,71,11,214,193
52,267,152,42,5,284,250
53,315,202,68,5,241,169
54,260,156,52,1,277,254
55,341,185,59,0,231,184
56,269,156,45,2,304,224
57,346,182,44,3,256,169
58,272,150,48,1,289,240
59,336,178,50,3,243,190
60,309,134,47,4,275,231
61,320,191,62,3,256,168
62,253,151,60,5,287,244
63,332,193,52,4,246,173
64,257,148,40,2,278,275
65,331,184,50,4,235,196
66,266,155,66,2,275,236
67,330,187,57,4,252,170
68,273,146,53,6,289,233
69,327,188,50,4,245,186
70,255,167,51,4,276,247
71,337,189,42,3,246,183
72,270,151,55,2,294,228
73,331,193,56,2,251,167
74,269,137,45,3,293,253
75,349,180,54,1,227,189
76,271,139,55,2,282,251
77,324,186,51,1,268,170
78,277,146,62,2,260,253
79,355,166,61,2,229,187
80,267,157,50,2,293,231
81,333,198,51,2,258,158
82,268,156,45,2,282,247
83,336,180,48,2,253,181
84,267,151,53,3,291,235
85,333,183,49,1,253,181
86,260,165,47,1,270,257
87,320,199,57,4,252,168
88,273,148,41,3,296,239
89,308,214,51,4,263,160
90,257,162,52,2,266,261
91,321,188,48,3,259,181
92,280,142,44,2,289,243
93,341,189,65,3,247,155
94,262,160,47,2,296,233
95,348,193,38,1,248,172
96,281,146,44,1,281,247
97,318,196,54,2,249,181
98,271,146,51,5,289,238
99,323,189,57,3,240,188
