,Route0,Route1,Route2,Route3,Route4,Route5
0,39,23,81,54,682,121
1,302,260,81,54,182,121
2,526,36,81,54,182,121
3,470,92,81,54,182,121
4,422,140,81,54,182,121
5,388,174,81,54,182,121
6,410,152,81,54,182,121
7,404,158,81,54,182,121
8,424,138,81,54,182,121
9,410,148,81,54,182,125
10,389,135,81,54,182,159
11,344,132,81,54,182,207
12,320,127,81,54,182,236
13,354,144,81,54,182,185
14,352,129,81,54,182,202
15,330,130,81,54,182,223
16,364,117,81,54,182,202
17,352,132,81,54,182,199
18,327,129,81,54,182,227
19,337,147,81,54,182,199
20,337,127,81,54,182,219
21,359,115,81,54,182,209
22,334,134,81,54,182,215
23,354,137,81,54,182,192
24,356,119,81,54,182,208
25,357,116,81,54,182,210
26,341,121,81,54,182,221
27,362,129,81,54,182,192
28,359,126,81,54,182,198
29,315,131,81,54,182,237
30,354,124,81,54,182,205
31,326,151,81,54,182,206
32,344,125,81,54,182,214
33,332,133,81,54,182,218
34,340,143,81,54,182,200
35,362,128,81,54,182,193
36,340,131,81,54,182,212
37,331,135,81,54,182,217
38,340,137,82,54,182,205
39,354,119,81,54,182,210
40,363,129,81,55,182,190
41,324,133,82,54,182,225
42,332,138,83,54,182,211
43,331,139,83,54,182,211
44,340,136,82,54,182,206
45,357,124,84,54,182,199
46,344,135,82,54,182,203
47,349,124,81,54,182,210
48,332,126,85,54,182,221
49,340,136,86,54,182,202
50,344,121,87,54,182,212
51,362,123,83,54,182,196
52,337,129,87,54,182,211
53,341,126,85,54,182,212
54,361,129,87,54,182,187
55,348,126,90,54,182,200
56,341,128,88,54,182,207
57,341,131,85,54,182,207
58,333,122,97,54,182,212
59,359,116,92,54,182,197
60,348,120,94,54,182,202
61,346,137,85,54,182,196
62,332,144,90,54,182,198
63,351,120,87,54,182,206
64,338,128,94,54,182,204
65,330,126,91,54,182,217
66,349,127,91,54,182,197
67,334,116,91,54,182,223
68,340,118,92,55,182,213
69,347,120,98,54,182,199
70,327,130,92,54,182,215
71,356,126,92,54,182,190
72,339,142,86,54,182,197
73,319,129,92,55,182,223
74,362,118,96,54,182,188
75,359,108,97,54,182,200
76,336,146,98,54,182,184
77,341,125,94,54,182,204
78,332,122,100,54,182,210
79,333,138,97,54,182,196
80,330,116,104,54,182,214
81,332,130,96,54,182,206
82,332,136,90,54,182,206
83,337,132,99,54,183,195
84,350,126,94,54,182,194
85,329,129,107,54,182,199
86,336,115,105,55,182,207
87,363,121,93,55,182,186
88,336,134,96,54,182,198
89,333,122,101,54,182,208
90,331,120,96,55,182,216
91,352,124,94,54,182,194
92,345,117,96,55,182,205
93,344,117,100,55,182,202
94,350,112,98,57,182,201
95,333,124,106,55,183,199
96,345,116,103,54,182,200
97,323,144,98,55,182,198
98,324,134,103,56,182,201
99,341,131,98,55,182,193
