,Route0,Route1,Route2,Route3,Route4,Route5
0,25,7,71,20,752,125
1,357,410,36,10,126,61
2,671,91,31,26,81,100
3,633,114,39,41,53,120
4,611,110,44,43,66,126
5,595,111,45,35,81,133
6,104,93,33,39,61,670
7,596,252,18,19,27,88
8,481,232,21,16,86,164
9,337,152,52,25,86,348
10,419,176,56,26,85,238
11,118,98,58,30,83,613
12,592,261,34,16,37,60
13,525,183,28,19,99,146
14,89,101,44,33,92,641
15,579,262,23,15,45,76
16,527,173,23,20,93,164
17,449,197,59,25,93,177
18,112,93,57,28,88,622
19,578,268,26,15,40,73
20,528,195,19,11,94,153
21,204,131,49,27,88,501
22,543,246,64,22,52,73
23,141,102,52,16,93,596
24,604,253,18,9,40,76
25,249,132,338,12,105,164
26,585,86,10,105,56,158
27,110,76,28,66,93,627
28,665,157,17,33,53,75
29,176,122,463,25,102,112
30,647,85,9,137,42,80
31,153,63,9,81,94,600
32,685,152,4,38,46,75
33,433,114,153,26,92,182
34,247,101,247,51,81,273
35,494,98,71,85,78,174
36,168,84,145,72,79,452
37,529,134,146,58,50,83
38,160,91,252,48,106,343
39,539,116,76,106,47,116
40,125,83,159,66,127,440
41,599,158,87,38,45,73
42,142,93,228,29,233,275
43,571,134,28,76,57,134
44,140,89,98,47,184,442
45,619,164,55,21,56,85
46,148,108,190,26,265,263
47,597,163,35,45,52,108
48,151,99,73,38,238,401
49,566,166,69,21,71,107
50,147,126,139,17,289,282
51,589,179,45,16,66,105
52,167,114,69,23,248,379
53,499,203,92,19,76,111
54,169,118,74,22,338,279
55,558,194,65,14,56,113
56,151,129,74,12,268,366
57,507,208,68,16,78,123
58,177,111,96,19,296,301
59,533,190,66,17,69,125
60,176,122,76,20,276,330
61,490,176,93,20,88,133
62,209,109,91,31,283,277
63,480,197,75,23,101,124
64,163,117,72,22,320,306
65,522,191,64,19,87,117
66,192,124,105,26,247,306
67,461,195,66,35,108,135
68,202,100,93,25,290,290
69,504,187,47,16,113,133
70,211,112,88,19,252,318
71,425,190,90,27,127,141
72,212,109,95,40,278,266
73,476,186,75,27,95,141
74,218,108,67,30,289,288
75,469,186,79,20,120,126
76,208,110,86,24,272,300
77,460,182,86,19,104,149
78,215,120,84,31,275,275
79,466,189,79,16,121,129
80,199,94,74,27,318,288
81,502,181,66,23,95,133
82,236,114,97,16,258,279
83,407,197,72,20,140,164
84,228,114,90,21,240,307
85,430,159,82,21,129,179
86,243,113,88,40,261,255
87,401,162,90,23,162,162
88,232,104,86,42,267,269
89,425,184,94,19,135,143
90,229,123,89,33,264,262
91,410,180,82,23,138,167
92,226,125,93,31,273,252
93,386,189,76,27,165,157
94,254,114,81,27,253,271
95,384,173,87,34,167,155
96,229,115,76,35,284,261
97,394,188,83,28,150,157
98,254,109,79,34,263,261
99,377,205,84,25,148,161
