,Route0,Route1,Route2,Route3,Route4,Route5
0,102,63,118,43,605,69
1,467,375,58,16,49,35
2,412,91,32,13,110,342
3,543,86,65,45,97,164
4,61,47,56,42,101,693
5,678,152,24,22,40,84
6,558,126,32,22,107,155
7,473,156,77,37,111,146
8,436,183,86,36,105,154
9,439,141,77,52,113,178
10,345,122,74,51,123,285
11,362,150,80,37,112,259
12,304,139,86,38,119,314
13,404,170,84,42,101,199
14,201,90,77,46,119,467
15,528,258,50,28,70,66
16,198,109,63,28,138,464
17,583,224,50,15,63,65
18,184,106,82,28,154,446
19,506,232,62,21,83,96
20,230,97,147,20,174,332
21,450,193,85,54,81,137
22,196,87,141,51,179,346
23,480,188,80,54,82,116
24,219,82,141,54,207,297
25,409,204,73,62,100,152
26,200,89,131,59,224,297
27,460,212,72,44,92,120
28,196,89,125,50,228,312
29,498,182,71,48,83,118
30,214,101,106,53,243,283
31,403,188,100,43,113,153
32,214,116,95,52,246,277
33,403,202,92,37,123,143
34,215,100,114,46,246,279
35,415,171,88,55,105,166
36,223,102,127,51,239,258
37,421,188,82,48,120,141
38,225,101,102,54,239,279
39,416,190,87,42,122,143
40,239,116,106,47,227,265
41,422,152,99,44,118,165
42,251,104,102,59,222,262
43,373,155,111,45,136,180
44,227,84,121,56,241,271
45,372,194,97,50,124,163
46,249,99,110,53,224,265
47,404,183,76,54,116,167
48,243,105,98,61,227,266
49,366,172,96,48,146,172
50,245,91,123,49,226,266
51,401,174,90,59,128,148
52,251,100,91,55,237,266
53,370,161,104,39,146,180
54,254,101,109,54,238,244
55,378,176,95,42,137,172
56,251,104,103,62,219,261
57,381,166,102,45,149,157
58,261,108,88,44,221,278
59,381,154,105,57,124,179
60,250,93,114,63,241,239
61,373,164,97,48,150,168
62,246,94,115,56,217,272
63,371,163,95,48,147,176
64,261,101,112,53,215,258
65,377,161,91,51,142,178
66,259,98,118,47,245,233
67,395,174,92,56,119,164
68,256,106,106,44,211,277
69,358,163,123,39,142,175
70,271,103,97,57,229,243
71,383,146,89,47,148,187
72,276,94,126,52,223,229
73,342,170,94,57,169,168
74,233,101,115,63,205,283
75,368,169,102,57,144,160
76,237,104,102,55,230,272
77,388,179,77,44,143,169
78,249,118,113,47,218,255
79,351,148,103,53,164,181
80,276,89,127,75,206,227
81,364,153,106,51,154,172
82,245,74,101,58,230,292
83,399,157,92,49,130,173
84,261,92,108,69,213,257
85,374,165,101,39,150,171
86,253,87,114,53,235,258
87,389,175,93,47,126,170
88,272,100,106,58,227,237
89,395,148,97,53,144,163
90,269,99,105,51,228,248
91,342,174,96,59,148,181
92,242,103,123,58,202,272
93,372,166,102,67,144,149
94,257,116,116,57,219,235
95,371,141,93,73,152,170
96,262,78,107,61,231,261
97,341,174,112,42,151,180
98,267,95,109,53,235,241
99,388,166,77,48,160,161
