,Route0,Route1,Route2,Route3,Route4,Route5
0,220,146,171,125,187,151
1,183,92,152,115,202,256
2,347,182,126,88,89,168
3,204,78,117,58,278,265
4,450,238,37,47,106,122
5,238,98,89,25,222,328
6,450,213,57,47,104,129
7,235,86,109,26,254,290
8,467,206,44,41,96,146
9,237,100,97,23,256,287
10,457,201,45,33,113,151
11,238,88,90,19,250,315
12,491,222,38,24,101,124
13,248,91,83,14,265,299
14,477,197,40,26,114,146
15,250,85,97,21,250,297
16,463,211,46,25,115,140
17,237,97,78,19,255,314
18,478,200,43,31,117,131
19,247,93,108,17,264,271
20,488,187,46,35,117,127
21,253,81,80,17,261,308
22,508,189,41,26,110,126
23,253,90,83,13,237,324
24,484,191,50,28,108,139
25,239,83,102,14,282,280
26,481,205,35,26,130,123
27,248,82,83,15,254,318
28,500,211,33,23,98,135
29,240,99,79,14,268,300
30,499,177,33,22,127,142
31,263,81,104,17,243,292
32,485,195,45,29,109,137
33,250,91,84,13,266,296
34,482,199,39,23,123,134
35,229,99,86,11,255,320
36,506,195,39,18,118,124
37,259,92,87,13,258,291
38,464,196,47,29,123,141
39,256,80,89,21,275,279
40,474,200,40,16,131,139
41,274,95,69,19,222,321
42,464,202,59,25,107,143
43,232,101,91,14,274,288
44,496,186,52,21,111,134
45,250,86,85,16,267,296
46,472,177,52,21,134,144
47,274,84,86,17,243,296
48,487,189,44,17,118,145
49,271,92,84,11,258,284
50,504,189,44,19,104,140
51,249,94,88,13,270,286
52,464,186,50,20,123,157
53,258,97,81,18,252,294
54,465,181,44,26,122,162
55,254,82,89,18,246,311
56,460,209,57,19,115,140
57,242,101,79,15,272,291
58,472,192,54,18,126,138
59,261,103,84,17,255,280
60,465,185,57,19,116,158
61,257,86,93,13,272,279
62,461,184,48,18,128,161
63,246,95,76,14,259,310
64,474,204,50,16,118,138
65,252,89,62,12,286,299
66,486,201,48,15,119,131
67,261,90,79,11,266,293
68,493,195,41,9,103,159
69,239,98,79,12,266,306
70,500,192,47,11,109,141
71,256,100,71,15,261,297
72,466,197,43,19,119,156
73,235,99,86,8,266,306
74,501,187,51,12,111,138
75,248,94,86,10,276,286
76,517,177,37,15,115,139
77,274,78,74,13,260,301
78,465,202,46,10,120,157
79,269,93,77,15,262,284
80,463,187,52,10,118,170
81,271,86,84,12,270,277
82,476,187,57,16,124,140
83,266,100,86,8,220,320
84,483,183,55,22,106,151
85,262,84,76,17,266,295
86,462,199,58,21,102,158
87,228,95,86,15,292,284
88,502,169,47,19,127,136
89,280,96,81,22,245,276
90,448,194,53,21,124,160
91,239,87,76,18,275,305
92,497,197,46,20,97,143
93,261,100,62,16,247,314
94,466,176,67,13,121,157
95,271,86,79,14,270,280
96,456,188,60,20,125,151
97,278,85,78,15,241,303
98,445,194,68,21,122,150
99,263,97,81,15,267,277
