,Route0,Route1,Route2,Route3,Route4,Route5
0,81,38,98,66,606,111
1,441,361,48,35,53,62
2,593,77,51,33,78,168
3,482,77,62,54,80,245
4,117,75,76,43,69,620
5,656,158,57,25,39,65
6,494,161,48,26,105,166
7,376,171,65,47,85,256
8,227,98,62,53,88,472
9,519,225,70,38,67,81
10,224,81,63,37,102,493
11,536,235,55,33,59,82
12,240,110,70,33,119,428
13,515,197,87,38,66,97
14,170,81,107,32,122,488
15,568,206,56,36,61,73
16,274,111,205,33,121,256
17,397,130,104,102,86,181
18,232,75,196,67,109,321
19,410,151,100,96,73,170
20,225,74,189,81,117,314
21,368,149,147,90,80,166
22,233,71,174,68,136,318
23,387,155,126,84,85,163
24,249,86,162,61,144,298
25,357,131,150,84,99,179
26,246,84,170,81,157,262
27,376,135,117,80,114,178
28,255,83,147,64,186,265
29,346,142,119,77,114,202
30,268,91,138,78,187,238
31,350,125,120,73,141,191
32,261,101,147,75,185,231
33,362,128,116,78,110,206
34,240,76,157,78,178,271
35,377,151,112,80,108,172
36,252,86,131,75,205,251
37,372,136,116,70,128,178
38,262,110,130,69,174,255
39,389,120,132,69,130,160
40,233,96,136,56,194,285
41,351,142,135,75,117,180
42,243,115,123,71,194,254
43,344,130,124,62,143,197
44,260,101,133,75,186,245
45,334,137,112,69,154,194
46,290,82,137,63,210,218
47,342,142,113,73,143,187
48,290,96,138,60,179,237
49,312,128,114,104,142,200
50,244,103,142,59,192,260
51,367,120,98,77,136,202
52,267,98,143,70,196,226
53,341,146,122,74,129,188
54,264,78,113,60,205,280
55,371,159,114,69,119,168
56,280,100,127,62,200,231
57,328,130,108,69,165,200
58,288,93,139,68,185,227
59,355,133,98,78,155,181
60,240,94,156,70,190,250
61,363,132,107,81,139,178
62,278,92,127,59,194,250
63,343,143,96,77,167,174
64,296,100,117,64,191,232
65,355,128,116,75,125,201
66,237,85,146,79,218,235
67,368,130,112,69,130,191
68,277,94,106,63,218,242
69,338,147,108,69,142,196
70,272,94,117,68,202,247
71,385,129,116,57,133,180
72,284,95,123,64,202,232
73,333,136,101,74,156,200
74,259,100,128,56,181,276
75,356,143,106,77,156,162
76,283,105,126,63,189,234
77,335,133,103,87,140,202
78,281,100,136,66,193,224
79,321,138,113,74,167,187
80,301,101,121,79,196,202
81,345,126,118,63,159,189
82,295,91,115,64,196,239
83,309,134,133,64,165,195
84,270,109,109,86,186,240
85,305,143,114,58,179,201
86,276,119,119,77,189,220
87,342,110,122,61,153,212
88,284,99,131,75,195,216
89,309,127,110,71,172,211
90,307,101,140,67,176,209
91,294,98,131,95,159,223
92,321,99,118,94,171,197
93,263,99,131,86,184,237
94,368,116,121,76,142,177
95,278,85,135,63,176,263
96,340,150,119,76,144,171
97,288,97,118,65,197,235
98,324,145,117,74,130,210
99,229,101,119,81,232,238
