,Route0,Route1,Route2,Route3,Route4,Route5
0,35,16,114,49,669,117
1,396,387,58,22,79,58
2,606,59,36,27,94,178
3,600,108,55,58,60,119
4,572,82,51,53,78,164
5,108,67,58,43,72,652
6,635,197,25,16,36,91
7,494,208,31,27,80,160
8,464,189,57,45,73,172
9,276,119,58,46,90,411
10,490,211,70,40,70,119
11,157,84,55,41,98,565
12,548,258,36,24,57,77
13,446,179,30,20,99,226
14,288,121,55,38,93,405
15,434,216,82,40,72,156
16,185,102,62,43,96,512
17,567,238,48,24,40,83
18,190,123,31,19,107,530
19,565,241,40,15,50,89
20,260,129,73,27,91,420
21,425,194,122,28,73,158
22,219,101,107,36,102,435
23,469,208,101,32,63,127
24,247,114,121,39,105,374
25,420,160,124,47,75,174
26,219,112,167,50,110,342
27,384,148,118,76,68,206
28,228,101,160,63,120,328
29,357,147,159,76,86,175
30,236,86,180,69,139,290
31,372,136,134,95,83,180
32,243,88,148,70,162,289
33,362,144,136,75,94,189
34,267,78,154,81,144,276
35,330,131,148,90,106,195
36,260,84,144,74,152,286
37,317,136,146,82,116,203
38,252,109,141,75,175,248
39,336,132,129,64,137,202
40,262,91,138,74,196,239
41,343,135,140,44,137,201
42,292,101,123,80,169,235
43,302,129,153,84,124,208
44,275,112,126,81,179,227
45,317,140,141,58,140,204
46,273,107,111,79,201,229
47,321,128,120,60,155,216
48,274,95,148,75,160,248
49,315,128,138,78,152,189
50,253,101,106,64,213,263
51,354,156,109,48,148,185
52,271,101,136,73,195,224
53,343,144,97,71,137,208
54,267,89,132,53,201,258
55,341,149,116,75,155,164
56,261,103,126,60,185,265
57,319,155,111,85,151,179
58,283,95,133,66,187,236
59,308,132,124,93,161,182
60,282,101,128,66,193,230
61,282,144,137,68,170,199
62,291,103,117,82,181,226
63,328,136,123,74,148,191
64,249,106,141,64,192,248
65,356,126,118,67,153,180
66,268,101,120,59,207,245
67,338,135,109,58,164,196
68,289,108,113,66,180,244
69,339,123,135,63,156,184
70,256,107,118,85,208,226
71,336,159,102,73,154,176
72,232,105,123,57,218,265
73,367,163,89,61,141,179
74,268,101,122,54,208,247
75,351,141,100,61,158,189
76,252,104,122,73,212,237
77,331,148,124,53,170,174
78,279,108,117,50,213,233
79,334,163,104,79,132,188
80,239,102,128,60,206,265
81,349,140,101,58,163,189
82,267,100,127,61,200,245
83,332,155,113,88,153,159
84,274,82,112,80,210,242
85,305,150,119,56,171,199
86,271,113,111,70,194,241
87,320,155,118,63,161,183
88,260,94,122,70,197,257
89,327,150,112,62,142,207
90,250,104,128,64,215,239
91,330,159,104,63,152,192
92,273,101,115,66,215,230
93,348,149,111,54,168,170
94,285,98,113,69,217,218
95,322,156,110,46,184,182
96,288,117,102,65,196,232
97,312,110,137,64,177,200
98,268,121,126,83,190,212
99,317,159,107,57,165,195
