,Route0,Route1,Route2,Route3,Route4,Route5
0,99,63,67,66,572,133
1,436,400,22,35,45,62
2,90,94,31,19,93,673
3,653,158,29,17,56,87
4,92,78,72,23,84,651
5,636,196,40,14,40,74
6,86,97,81,18,471,247
7,633,223,34,11,51,48
8,102,74,50,23,110,641
9,565,268,36,16,52,63
10,97,74,50,24,507,248
11,536,303,29,12,59,61
12,93,90,61,8,131,617
13,583,270,30,6,44,67
14,94,94,62,20,423,307
15,583,252,39,10,54,62
16,102,90,56,14,261,477
17,550,295,34,9,36,76
18,100,79,50,14,433,324
19,591,254,28,9,49,69
20,105,90,48,12,305,440
21,571,281,25,6,38,79
22,120,83,57,15,430,295
23,566,283,27,7,48,69
24,104,89,40,11,316,440
25,548,285,23,8,50,86
26,109,82,51,17,380,361
27,538,314,23,10,43,72
28,99,91,47,12,375,376
29,554,282,28,8,47,81
30,107,82,45,14,389,363
31,565,270,29,7,57,72
32,119,82,53,14,345,387
33,547,296,30,8,40,79
34,117,96,43,8,391,345
35,586,276,21,6,47,64
36,112,92,43,8,391,354
37,576,272,27,4,46,75
38,119,80,34,7,392,368
39,550,289,18,5,54,84
40,102,104,50,10,368,366
41,590,271,22,6,38,73
42,98,102,49,5,386,360
43,609,255,16,3,39,78
44,123,94,43,6,351,383
45,547,301,18,5,45,84
46,103,86,44,6,394,367
47,548,281,26,7,50,88
48,99,97,45,13,368,378
49,563,283,23,7,41,83
50,105,89,47,7,383,369
51,534,298,26,6,53,83
52,99,88,39,11,401,362
53,554,288,18,11,48,81
54,107,100,53,10,389,341
55,584,264,28,5,37,82
56,96,88,46,1,407,362
57,565,267,20,1,59,88
58,111,93,54,6,351,385
59,583,268,25,7,49,68
60,107,76,46,9,357,405
61,569,272,15,6,48,90
62,116,84,53,6,383,358
63,590,256,25,3,48,78
64,106,77,38,8,397,374
65,533,298,24,7,50,88
66,93,101,44,9,351,402
67,560,290,21,9,40,80
68,98,100,46,5,383,368
69,568,273,27,4,41,87
70,117,79,41,11,411,341
71,541,298,24,8,51,78
72,116,88,45,2,351,398
73,561,292,19,4,50,74
74,109,93,35,3,394,366
75,556,299,9,1,59,76
76,106,104,41,5,378,366
